Name,Gender,College Name,City,Stream,Monthly Average Family Income,Which Functional Area do you want to work in ?,What is most important for you while opting for your first job?,If you are already an employee are you happy with your new job ?,What factors make you most unhappy at a job?,What factors make you Happy with a job?,What are the Areas in which you did your internship ?,How much salary would you expect if you are hired for a job?,"If you find a Job that you are looking for, Relocating to a new place for Job is a problem for you ?",Which City you would prefer to work in ?,What perks you would like in your First Job ?,How much time do you spend on your Mobile everyday ?,What channels would you use looking for Jobs ?,"Will you be willing to work for a different industry if you get a Job?  (for example, you are from engineering and would you work in FInance ?)",What Industry you would prefer to work in ?,Are you interested to work on creating a startup ?,"If yes, what area you would want a startup?"
SURVID-54,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Chance to work on new Projects,Yes,"Low Pay, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Low Work Load",AI,"40,000 - 50,000",Yes,HI TECH CITY,HIGH SALARY AND LOW WORK,1 - 3 Hours,Indeed,Yes,IT & Software,No,Education
SURVID-55,Male,Vardhaman college of engineering ,Secunderabad ,Engineering,"10,000 - 50,000",,Salary,,Lack of recognition,"High pay, Growth oppurtunities",Market,,No,Secunderabad ,,More than 3 Hours,Linkedin,Yes,Marketing,Yes,E-Commerce
SURVID-56,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"10,000 - 50,000",Electrical ,Job Role,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",Electrical ,"50,000 - 1,00,000",Yes,Hyderabad,For having a new experience ,More than 3 Hours,Linkedin,No,Electrical ,Yes,Electrical 
SURVID-57,Male,Vardhaman college of engineering,Hyderabad,Engineering,"Less than 10,000",IT & Software,Job Role,,,,,"30,000 - 40,000",No,CANADA,Enjoyment,Less than 1 Hour,"Linkedin, Indeed, Internshala",Yes,IT & Software,Yes,Financial Sector
SURVID-58,Male,,Hyderabad,Commerce,"50,000 - 1,00,000",BPO,Salary,,"Low Pay, Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",Finance,"50,000 - 1,00,000",No,Hyderabad,,More than 3 Hours,Linkedin,Yes,Finance,No,
SURVID-59,Female,New Pragathi college of commerce and science ,Hyderabad ,Commerce,"10,000 - 50,000","IT & Software, Banking sector",Salary,,Lack of opportunity to grow,Growth oppurtunities,,"20,000 - 30,000",No,Hyderabad ,Respect towards me ,More than 3 Hours,Linkedin,Yes,Finance,Yes,Financial Sector
SURVID-60,Male,Vardhaman college of engineering,Hyderabad,Engineering,"Greater than 1,00,00",govt jobs,Salary,Yes,High Work Load,Growth oppurtunities,Market,"40,000 - 50,000",Yes,Hyderabad,,More than 3 Hours,Naukri,Yes,Marketing,No,Healthcare Sector
SURVID-61,Female,Vardhaman college of engineering,Hyderabad,Engineering,"50,000 - 1,00,000",HR,Chance to work on new Projects,,Lack of recognition,Recognition,HR,"50,000 - 1,00,000",Yes,Hyderabad,,1 - 3 Hours,"Naukri, Internshala",Yes,Finance,Yes,Healthcare Sector
SURVID-62,Male,Vardhaman college of engineering ,Hyderabad ,Engineering,"Greater than 1,00,00",IT & Software,Company Culture,,Lack of recognition,Recognition,AI,"Greater than 1,00,000",Yes,Macau,bonus ,Less than 1 Hour,Linkedin,Yes,IT & Software,Yes,AI
SURVID-63,Female,Ellenki institute of engineering and technology,Hyderabad,Engineering,"Less than 10,000",IT & Software,Chance to work on new Projects,,"Lack of opportunity to grow, Lack of recognition","Growth oppurtunities, Recognition",Data Science,"20,000 - 30,000",No,Hyderabad,,1 - 3 Hours,"Linkedin, Naukri, Indeed, Internshala",No,IT & Software,Yes,AI
SURVID-64,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"10,000 - 50,000",Electronics,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,Content writing,"Though salary is not a priority, it completely depends on the company",No,Bangalore and Pune in India,,1 - 3 Hours,"Linkedin, Internshala, Glass door",No,Automobile,Yes,Education integrated with technology
SURVID-65,Male,Vardhaman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Salary,,"Low Pay, High Work Load","High pay, Recognition, Low Work Load",,"30,000 - 40,000",No,Hyderabad,Software,1 - 3 Hours,,Yes,IT & Software,Yes,
SURVID-66,Male,Vardhaman college of engineering,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Chance to work on new Projects,,Lack of opportunity to grow,Recognition,Data Science,"30,000 - 40,000",No,Hyderabad,Able to learn a whole lot of things which helps me to correct myself and grab a chance for higher opportunities.,1 - 3 Hours,"Linkedin, Internshala",No,IT & Software,Yes,AI
SURVID-67,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"Less than 10,000",IT & Software,Job Role,,,"High pay, Growth oppurtunities",Data Science,"50,000 - 1,00,000",Yes,"Banglore ,chennai","Health benefits, some incentives ",1 - 3 Hours,"Linkedin, Indeed",No,IT & Software,Yes,E-Commerce
SURVID-68,Male,Vardhaman college of engineering ,Hyderabad ,Engineering,"Greater than 1,00,00",Core ,Chance to work on new Projects,,Lack of opportunity to grow,Growth oppurtunities,Service,"10,000 - 20,000",Yes,"Delhi , Mumbai , Pune , Bangalore",Ease of work and growth opportunities,More than 3 Hours,"Linkedin, Naukri, Internshala",No,Manufacturing,Yes,Mechanical and Automobile
SURVID-69,Male,Vardhaman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Salary,,"Lack of opportunity to grow, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",,"50,000 - 1,00,000",No,Hyderabad,A car & house,1 - 3 Hours,Freejob alert,No,IT & Software,Yes,Education
SURVID-70,Female,Vardhaman college of engineering ,Hyderabad,Engineering,"Greater than 1,00,00",IT & Software,Salary,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition",Market,"40,000 - 50,000",Yes,Hyderabad,Health and vision insurance ,1 - 3 Hours,"Linkedin, Internshala",No,IT & Software,No,
SURVID-71,Male,Vardhaman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Salary,,"Low Pay, Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",AI,"50,000 - 1,00,000",No,Hyderabad Chennai Bangalore,Salary,Less than 1 Hour,"Linkedin, Internshala",No,IT & Software,Yes,AI
SURVID-72,Female,Vardhaman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Job Role,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load",,,"30,000 - 40,000",No,,,1 - 3 Hours,Linkedin,No,,Yes,Education
SURVID-73,Male,Vardhaman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Job Role,Yes,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities",Security,"30,000 - 40,000",Yes,Hyderabad,High Pay ,1 - 3 Hours,"Linkedin, Internshala, Google",No,IT & Software,No,
SURVID-74,Male,,Hyderabad,Engineering,"10,000 - 50,000",HR,Company Culture,,,,AI,"40,000 - 50,000",No,,,Less than 1 Hour,,Yes,Media,Yes,AI
SURVID-75,Female,Vardhaman college of engineering ,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Job Role,NO,,,,"40,000 - 50,000",Yes,Hyderabad,,1 - 3 Hours,"Linkedin, Indeed, Internshala",No,IT & Software,No,
SURVID-76,Female,Vardhaman college of engineering,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Chance to work on new Projects,,"Low Pay, Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",Data Science,"50,000 - 1,00,000",No,"Hyderabad , Bangalore .",Dont know yet .i guess experience will tell me . for now no idea.,1 - 3 Hours,"Linkedin, Indeed, Internshala",No,IT & Software,Yes,AI
SURVID-77,Female,Vardhaman college of engineering ,Hyderabad ,Engineering,"10,000 - 50,000",IT & Software,,,,,,"50,000 - 1,00,000",Yes,Hyderabad ,,1 - 3 Hours,"Linkedin, Internshala",No,IT & Software,,
SURVID-78,Male,Vardhaman college of engineering,Hyderabad,Engineering,"Less than 10,000",IT & Software,Chance to work on new Projects,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",Not yet done ,"30,000 - 40,000",No,Hyderabad ,Salary,1 - 3 Hours,"Linkedin, Naukri, Indeed",No,IT & Software,No,
SURVID-79,Male,Vardhaman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Job Role,,Lack of opportunity to grow,Growth oppurtunities,Data Science,"50,000 - 1,00,000",No,Hyderabad,Programming,1 - 3 Hours,Linkedin,No,IT & Software,No,
SURVID-80,Male,Vardhaman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Job Role,Yes,"Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities, Recognition",Cybersecurity,"30,000 - 40,000",No,Mumbai,,1 - 3 Hours,,No,IT & Software,Yes,
SURVID-81,Male,Vardhaman college of engineering ,Hydhrabad ,Engineering,"10,000 - 50,000",IT & Software,Job Role,,Lack of opportunity to grow,Growth oppurtunities,Market,"30,000 - 40,000",No,Bangalore ,,1 - 3 Hours,"Linkedin, Internshala",Yes,Marketing,Yes,Financial Sector
